epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,1829.86,0.74196,1.27468,0.8099,1.14333,0,0.87676,0.86408,0.90593,0.72059,0.90501,0.87379,0.94539,0.74422,0.66105,0.97714,0.65793,1.07505,0,0.000713,0.000713,0.000713
67,1857.4,0.73164,1.20121,0.8149,1.14273,0,0.92776,0.87277,0.92795,0.75153,0.93808,0.88248,0.944,0.76949,0.64322,0.95861,0.62914,1.06435,0,0.0006932,0.0006932,0.0006932
68,1885.04,0.75668,1.25004,0.83786,1.15442,0,0.85353,0.90291,0.948,0.75464,0.85353,0.90291,0.94409,0.77103,0.66023,0.93059,0.63282,1.07384,0,0.0006734,0.0006734,0.0006734
69,1912.4,0.72539,1.22015,0.8059,1.12603,0,0.88802,0.9239,0.95886,0.77437,0.93797,0.88085,0.95588,0.7852,0.57897,0.94113,0.47799,0.99751,0,0.0006536,0.0006536,0.0006536
70,1939.88,0.72372,1.23028,0.79729,1.13133,0,0.91054,0.88936,0.95403,0.77205,0.92407,0.8932,0.94776,0.77112,0.54461,0.93429,0.59666,0.98767,0,0.0006338,0.0006338,0.0006338
71,1967.23,0.72485,1.21527,0.77694,1.12993,0,0.89608,0.92084,0.94798,0.74853,0.93972,0.91262,0.96483,0.77759,0.64892,0.89903,0.60033,1.0655,0,0.000614,0.000614,0.000614
72,1994.6,0.71635,1.25149,0.77072,1.12593,0,0.9033,0.90699,0.95754,0.77244,0.89323,0.89347,0.94198,0.78414,0.64271,0.94543,0.65491,1.06586,0,0.0005942,0.0005942,0.0005942
73,2022,0.73722,1.2464,0.80259,1.14342,0,0.8625,0.93204,0.95741,0.77715,0.8625,0.93204,0.96157,0.80202,0.63705,0.88014,0.61584,1.05668,0,0.0005744,0.0005744,0.0005744
74,2049.47,0.71936,1.21333,0.78838,1.13605,0,0.87486,0.90291,0.93416,0.76236,0.87486,0.90291,0.94687,0.7835,0.66267,0.89779,0.57593,1.06696,0,0.0005546,0.0005546,0.0005546
75,2077.09,0.70568,1.219,0.74923,1.12647,0,0.9342,0.82702,0.94925,0.76027,0.9342,0.82702,0.94737,0.7836,0.65252,0.90783,0.47053,1.05771,0,0.0005348,0.0005348,0.0005348
